Woman's Ring
Key to Naraku
Gold Card
Platinum Card
Black Card
Silver Coin
Ryoja's Scales
Myoko's Disk
Hades' Soil
Yahokoro's Brean
Tobiume's Shoot
Yaizu's Flint
Peallaidh's Head
ID Card Lv1
Jirae Talisman
Matchbox
Card Key 2
Card Key 3
Brown Bottle
Card Key 4
Yamato Remote
Rusted Key
Scorched Card Key
Masakado's Katana
Chalice
Great Soul of Hope
Great Soul of Goodwill
Great Soul of Spite
Chipped Key
Hexagram Rosary










2 Shining Quills
2 Shining Hairs
White Pillar
Black Pillar
Masakado's S.




Gauntlet
Power Cable
Small Generator
Corked Bottle
Torifune's Shawl






Gryphon Talon
Deep Green Moss
Fuxi's Feather
Birdman Liver
Laptop PC
Small Fridge
Kaso's Hide
Babylon Birdmeat
Rukh's Egg
LED Lightbulb
Orcus Blood
Strix Blood
Head of Osiris
Arms of Osiris
Legs of Osiris
Torso of Osiris
Coffee Beans
Succulent Pork
Firearm Box
Small Server
Maenad's Wine
Bazooka Set
Morax Head
Chimera Head
Tokisada Head
Gryphon Head
Heaven's Tablet
Lung Medicine
Euthanasia Serum

SDF Equipment
Keepsake Pendant
Deceased's Nail
Portable Cannon
Pluto Corpse
Small LCD Set
Vasuki Hide
Mechanical Heart
Frozen Tuna

Messiah's Tear
Yata no Kagami
Yasakani Magatama
Kusanagi Tsurugi

Gogmagog Meat
Kingu Blood
Bar Photo
Shelter Photo
Ikebukuro Photo
Ginza Photo


Photo Film
Sarcophagus
Showdown Ticket
ID Card Lv2
ID Card Lv3
Camera
Smartphone
